ADEP,ADES,ICAO Route,Synthesized Route,Hausdorff Distance
ADL,KUL,DCT AREPA J58 WHA J251 AS A587 DEENO/N0475F380 A587 ONOXA G326 BLI M635 RAMPY/N0469F400 M635 JUNHA DCT IRTAD A464 SJ G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2288.4719998509686
ADL,KUL,DCT AREPA A585 FRAZA/N0473F360 A585 DOMOM/N0474F380 A585 SAPDA/M081F380 A585 PLB G579 PARDI/N0471F380 G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1550.2272268825004
ADL,KUL,DCT AREPA A585 GUKON/N0475F340 A585 OSOTO/N0480F360 A585 DOMOM/N0470F400 A585 SAPDA/M082F400 A585 PLB G579 PARDI/N0468F400 G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,995.4889343603596
ADL,KUL,DCT AREPA A585 OSOTO/N0478F380 A585 SAPDA/M082F400 A585 PLB G579 PARDI/N0469F400 G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,995.4889343603596
ADL,KUL,DCT AREPA A585 PINAV/N0470F380 A585 BIDAP/N0469F360 A585 PD/N0474F340 A585 DOMOM/N0476F380 A585 SAPDA/M081F380 A585 PLB G579 PARDI/N0473F380 G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1162.6302758227084
ADL,KUL,DCT AREPA A585 PINAV/N0475F380 A585 SAPDA/M081F380 A585 PLB G579 PARDI/N0473F380 G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1162.6302758227084
ADL,KUL,DCT AREPA A585 BEZZA/N0480F360 A585 OSOTO/N0475F380 A585 SAPDA/M082F380 A585 PLB G579 PARDI/N0473F380 G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1322.2855124781377
ADL,KUL,DCT AREPA A585 LANOP/N0471F320 A585 GUKON/N0482F360 A585 SAPDA/M081F360 A585 IPKON/M082F380 A585 PLB G579 PARDI/N0473F380 G579 VJB A457 GUPTA GUPTA1H,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1045.4414454308294
ADL,SIN,DCT AREPA Q8 AKDAV DCT RUSAD DCT ISMOR DCT WENER T20 POTIP DCT 1600S12100E/N0505F350 DCT ATMAP/N0495F380 M635 SURGA 0045N10535E 0104N10516E DOVAN BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1890.759759130332
ADL,SIN,DCT AREPA J58 WHA J251 WR T29 ARENI/N0500F360 T29 CIN ATMAP/N0496F380 M635 SURGA T23 UGEBO GUNUD KEXAS 0106N10432E DOVAN BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2288.4719998509686
ADL,SIN,DCT AREPA Q8 AKDAV DCT RUSAD DCT ISMOR/N0504F300 DCT WENER T20 POTIP/N0504F360 DCT 1600S12100E/N0506F350 DCT ATMAP/N0502F360 M635 SUMDI/N0496F380 M635 SURGA T23 UGEBO GUNUD KEXAS UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,710.9701289963632
ADL,SIN,DCT AREPA A585 DOMOM/N0497F380 A585 SAPDA/M085F380 A585 DOLTA G579 REPOV REMES REPOV2B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,879.2697675363006
ADL,SIN,DCT AREPA A585 GUKON/N0499F340 A585 DOMOM/N0496F380 A585 SAPDA/M085F380 A585 DOLTA GUSKO PLB 0016S10433E 0021N10420E REMES REPOV2B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,879.2697675363006
ADL,SIN,DCT AREPA Q8 AKDAV DCT RUSAD DCT ISMOR DCT WENER T20 POTIP/N0503F340 DCT 1600S12100E/N0505F350 DCT ATMAP/N0502F360 M635 SURGA 0008N10441E 0035N10432E DOVAN BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1890.759759130332
ADL,SIN,DCT AREPA A585 FRAZA DCT 3000S13100E/N0499F380 2800S12900E DCT NONAX DCT 1900S11900E DCT SUMPA DCT 1500S11500E DCT SAPDA/M085F380 A585 DOLTA G579 REPOV REMES REPOV2B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1550.2272268825004
ADL,SIN,DCT AREPA Q8 AKDAV/N0494F360 DCT RUSAD DCT ISMOR DCT WENER T20 POTIP/N0497F380 DCT 1600S12100E/N0493F390 DCT ATMAP/N0488F400 M635 SURGA/N0489F280 0026N10544E 0058N10504E LAVAX 0059N10420E BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1890.759759130332
ADL,SIN,DCT AREPA Q8 AKDAV DCT RUSAD DCT ISMOR DCT WENER T20 POTIP/N0507F340 DCT 1600S12100E/N0505F350 DCT ATMAP/N0501F360 M635 SURGA T23 UGEBO GUNUD KEXAS 0117N10436E DOVAN BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1890.759759130332
